after_s2_before_true,b_hdbscan_noise_points,b_hdbscan_noise_singleton_residual,clustering_backend_note,fast_after_true,fast_delta_true,fast_effective_total_reduction_pct,frozen_index,hdbscan_actually_used,hdbscan_runtime_available,old_after_true,old_delta_true,old_effective_total_reduction_pct,rewrite_a_intro_true,rewrite_a_net_true,rewrite_a_saved_true,rewrite_after_true,rewrite_b_intro_true,rewrite_b_net_true,rewrite_b_saved_true,rewrite_delta_true,rewrite_effective_total_reduction_pct,rewrite_net_true,route_initial_comments,route_initial_delete_now,route_initial_docstrings,route_initial_reference,route_initial_retain_for_b,route_profile,source_id
24,0,0,,24,0,0.000000,89,,,24,0,0.000000,0,0,0,24,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:89
5028,0,0,lexical_jaccard_fallback_explicit,5015,13,0.258552,90,False,False,5015,13,0.258552,0,0,0,5026,11,2,13,2,0.039777,2,2,0,0,0,2,rewrite_recovery_v2,frozen:90
8,0,0,lexical_jaccard_fallback_explicit,8,0,0.000000,91,False,False,8,0,0.000000,0,0,0,14,9,1,10,-6,-75.000000,1,0,0,0,1,0,rewrite_recovery_v2,frozen:91
89,0,0,,89,0,0.000000,92,,,89,0,0.000000,0,0,0,89,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:92
2899,0,0,,2899,0,0.000000,93,,,2899,0,0.000000,0,0,0,2899,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:93
837,0,0,,837,0,0.000000,94,,,821,16,1.911589,0,0,0,837,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:94
191,1,1,lexical_jaccard_fallback_explicit,191,0,0.000000,95,False,False,191,0,0.000000,0,0,0,191,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:95
336,0,0,,336,0,0.000000,96,,,336,0,0.000000,0,0,0,336,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:96
277,0,0,,271,6,2.166065,97,,,277,0,0.000000,0,0,0,277,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:97
1805,0,0,,1805,0,0.000000,98,,,1805,0,0.000000,0,0,0,1805,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:98
